id,tents,structures,vehicles,year,month,date_time,lat,lon,neighborhood,geoid
91,0,0,11,2025,12,12/10/2025,37.74075081319306,-122.38951844361792,Bayview,06075980900
92,0,0,02,2025,12,12/10/2025,37.728319777948954,-122.44386814534664,Mission Terrace,06075031100
93,0,0,15,2025,12,12/10/2025,37.740000091680294,-122.38999530038942,Bayview,06075980900
94,2,2,00,2025,12,12/10/2025,37.77652836577183,-122.39350900053978,Mission Bay,06075060703
95,0,0,01,2025,12,12/10/2025,37.73741327874294,-122.39040317189678,Bayview,06075061200
96,1,1,00,2025,12,12/10/2025,37.77751020007848,-122.39990171045064,South of Market,06075018000
97,0,0,23,2025,12,12/10/2025,37.72938790315419,-122.4420566484332,Sunnyside,06075031100
98,0,1,00,2025,12,12/10/2025,37.77004952247761,-122.45037619024517,Haight Ashbury,06075016602
99,1,1,00,2025,12,12/10/2025,37.78180759235962,-122.39639706909655,South of Market,06075061502
100,0,0,01,2025,12,12/10/2025,37.769487397025614,-122.45184838771821,Haight Ashbury,06075016602
101,1,0,00,2025,12,12/10/2025,37.78117029985403,-122.39469822496174,South Beach,06075061502
102,0,1,00,2025,12,12/10/2025,37.75390579184854,-122.41615455378977,Mission,06075022901
103,0,1,00,2025,12,12/10/2025,37.748462402100195,-122.41594613447184,Mission,06075020900
104,0,0,01,2025,12,12/10/2025,37.745452471858414,-122.50593848526476,Outer Sunset,06075035400
105,0,0,01,2025,12,12/10/2025,37.74729420721332,-122.5065631046891,Outer Sunset,06075035400
106,0,0,02,2025,12,12/10/2025,37.74737453520615,-122.50551301985979,Outer Sunset,06075035400
107,1,1,00,2025,12,12/10/2025,37.78762246703423,-122.38961912691593,Rincon Hill,06075061506
108,0,1,00,2025,12,12/10/2025,37.74831070483397,-122.4154893360334,Mission,06075022901
109,0,1,00,2025,12,12/10/2025,37.76210754716818,-122.43686288595201,Castro,06075020500
110,0,0,10,2025,12,12/10/2025,37.74940524031748,-122.50816572457553,Outer Sunset,06075035201
111,0,0,10,2025,12,12/10/2025,37.728383155222,-122.44856469333172,Sunnyside,06075031100
112,1,0,00,2025,12,12/10/2025,37.76455582812892,-122.42820167088153,Mission Dolores,06075020300
113,2,2,00,2025,12,12/10/2025,37.788357209935576,-122.38811675459146,Rincon Hill,06075061506
114,0,1,00,2025,12,12/10/2025,37.74914433360435,-122.41821675680646,Mission,06075020900
115,0,0,01,2025,12,12/10/2025,37.754851814632076,-122.50867165625094,Outer Sunset,06075035201
116,0,0,01,2025,12,12/10/2025,37.72833118055857,-122.4505867436528,Sunnyside,06075031100
117,0,0,10,2025,12,12/10/2025,37.757648906548496,-122.50895161181688,Outer Sunset,06075035201
118,0,0,40,2025,12,12/10/2025,37.759015339744856,-122.50915579497814,Outer Sunset,06075035202
119,0,0,20,2025,12,12/10/2025,37.7614183984704,-122.50958930701019,Outer Sunset,06075035201
120,0,1,00,2025,12,12/10/2025,37.75418215318741,-122.41867021247164,Mission,06075020900
121,0,0,016,2025,12,12/10/2025,37.7247921811483,-122.39289107519659,Bret Harte,06075023400
122,0,0,20,2025,12,12/10/2025,37.76305511614369,-122.50975996255875,Outer Sunset,06075035201
123,0,0,01,2025,12,12/10/2025,37.76124107417073,-122.50928319990633,Outer Sunset,06075035202
124,0,1,00,2025,12,12/10/2025,37.755215028046514,-122.41889596499684,Mission,06075020900
125,0,0,01,2025,12,12/10/2025,37.72871589488232,-122.39339945782075,Bayview,06075023300
126,0,0,02,2025,12,12/10/2025,37.72225533701481,-122.39185157819348,Bret Harte,06075023400
127,0,0,10,2025,12,12/10/2025,37.76423432558757,-122.50456418842076,Outer Sunset,06075035202
128,0,1,00,2025,12,12/10/2025,37.75028741393345,-122.41820826216458,Mission,06075020900
129,0,1,00,2025,12,12/10/2025,37.787049081635224,-122.39804729819299,South of Market,06075061501
130,0,0,01,2025,12,12/10/2025,37.764244132375325,-122.50234231352805,Outer Sunset,06075035101
131,0,0,12,2025,12,12/10/2025,37.76451236076866,-122.49601498246192,Outer Sunset,06075032700
132,0,0,02,2025,12,12/10/2025,37.742201022372754,-122.4358419701457,Diamond Heights,06075021600
133,0,0,01,2025,12,12/10/2025,37.7543398787252,-122.39867777331737,Potrero Hill,06075061401
134,0,1,04,2025,12,12/10/2025,37.7296954168161,-122.38347464296665,Hunters Point,06075023200
135,0,0,02,2025,12,12/10/2025,37.761105517863015,-122.39957618058922,Potrero Hill,06075022704
136,0,0,01,2025,12,12/10/2025,37.75764917162042,-122.48478289693593,Outer Sunset,06075032602
137,0,0,01,2025,12,12/10/2025,37.757532009733545,-122.48609852045776,Outer Sunset,06075032602
138,0,1,00,2025,12,12/10/2025,37.75220168886872,-122.4207829329915,Mission,06075021000
139,0,0,01,2025,12,12/10/2025,37.75747130813999,-122.48693201690912,Outer Sunset,06075032700
140,0,1,011,2025,12,12/10/2025,37.726098979221526,-122.38117836646764,Hunters Point,06075023200
141,0,1,00,2025,12,12/10/2025,37.74936205522887,-122.41978111165771,Mission,06075020900
142,0,0,01,2025,12,12/10/2025,37.757233802736344,-122.49306958168746,Outer Sunset,06075032700
143,0,0,03,2025,12,12/10/2025,37.726453163739116,-122.39598810023432,Bayview,06075023300
144,0,0,02,2025,12,12/10/2025,37.7285895045171,-122.38289104284108,Hunters Point,06075023200
145,0,0,02,2025,12,12/10/2025,37.72104604739557,-122.39820008394672,Bret Harte,06075023300
146,0,0,01,2025,12,12/10/2025,37.75486294807338,-122.49472115188836,Outer Sunset,06075032902
147,1,0,07,2025,12,12/10/2025,37.72152088488858,-122.39385566831085,Bret Harte,06075023400
148,1,3,00,2025,12,12/10/2025,37.76886545758926,-122.42144609351115,Mission,06075020101
149,1,0,04,2025,12,12/10/2025,37.770106630400036,-122.41957137763426,South of Market,06075020101
150,0,0,01,2025,12,12/10/2025,37.72024611997935,-122.39787695641088,Bret Harte,06075023300
151,0,0,01,2025,12,12/10/2025,37.720795619588905,-122.39927704218076,Bret Harte,06075023300
152,1,2,01,2025,12,12/10/2025,37.769614563588426,-122.41218882181077,South of Market,06075017700
153,0,0,01,2025,12,12/10/2025,37.71932546834039,-122.39854734266461,Bret Harte,06075023300
154,0,0,03,2025,12,12/10/2025,37.76728669053017,-122.40542458313108,Showplace Square,06075017700
155,0,0,03,2025,12,12/10/2025,37.766078390309765,-122.40562786835947,Showplace Square,06075017700
156,0,0,02,2025,12,12/10/2025,37.7270412774909,-122.40073694331866,Bayview,06075023300
157,0,0,46,2025,12,12/10/2025,37.72636561659319,-122.39697974394478,Bayview,06075023300
158,0,0,01,2025,12,12/10/2025,37.7290232891569,-122.49318759888412,Lakeshore,06075060400
159,0,0,01,2025,12,12/10/2025,37.72779882617062,-122.39875165850249,Bayview,06075023300
160,0,0,02,2025,12,12/10/2025,37.73771599351601,-122.42072001099585,Holly Park,06075025401
161,0,0,01,2025,12,12/10/2025,37.738010302037445,-122.42045246064663,Holly Park,06075025401
162,0,0,01,2025,12,12/10/2025,37.7648246491472,-122.41140387286109,Mission,06075017700
163,0,2,01,2025,12,12/10/2025,37.766884983419935,-122.41162346222039,Mission,06075017700
164,0,0,01,2025,12,12/10/2025,37.73824919485082,-122.41999983787537,Holly Park,06075025401
165,0,2,01,2025,12,12/10/2025,37.76807156165125,-122.41277643622229,Mission,06075017700
166,0,0,02,2025,12,12/10/2025,37.77500000000001,-122.41830000000002,South of Market,06075017700
167,0,0,01,2025,12,12/10/2025,37.736142881371606,-122.42038942873478,Holly Park,06075025401
168,0,0,02,2025,12,12/10/2025,37.76701871633313,-122.41444741201325,Mission,06075017700
169,0,0,01,2025,12,12/10/2025,37.71748968834683,-122.4772824347019,Parkmerced,06075033203
170,0,0,01,2025,12,12/10/2025,37.742422403316446,-122.41076264530419,Bernal Heights,06075025200
171,0,0,02,2025,12,12/10/2025,37.715814036205735,-122.47121762484312,Merced Heights,06075031302
172,0,0,01,2025,12,12/10/2025,37.71607289219295,-122.46984701603651,Merced Heights,06075031302
173,0,0,01,2025,12,12/10/2025,37.714410999802126,-122.46462542563677,Merced Heights,06075031302
174,0,0,01,2025,12,12/10/2025,37.711943553946185,-122.46525574475525,Merced Heights,06075031302
175,1,0,00,2025,12,12/10/2025,37.74865738529581,-122.40627765655516,Peralta Heights,06075025100
176,0,0,01,2025,12,12/10/2025,37.7370080574157,-122.40914091467857,Bernal Heights,06075025100
177,0,0,01,2025,12,12/10/2025,37.72369229494068,-122.41942718625067,University Mound,06075025900
178,0,0,02,2025,12,12/10/2025,37.71451125545869,-122.41624776273964,McLaren Park,06075980501
179,0,0,09,2025,12,12/10/2025,37.719225239971635,-122.40947350859642,Portola,06075025900
180,0,0,02,2025,12,12/10/2025,37.76478726177315,-122.41331309207865,Mission,06075017700
181,0,0,01,2025,12,12/10/2025,37.76314615216493,-122.40903880949023,Mission,06075022801
182,0,0,03,2025,12,12/10/2025,37.71717222439811,-122.39995367825033,Portola,06075025800
183,0,0,03,2025,12,12/10/2025,37.76412610408319,-122.41034193607832,Mission,06075022801
184,0,0,02,2025,12,12/10/2025,37.763148015440294,-122.41122087365024,Mission,06075022801
185,0,0,02,2025,12,12/10/2025,37.76363513775177,-122.41220782435424,Mission,06075022801
186,0,0,11,2025,12,12/10/2025,37.76162742829697,-122.41200584376618,Mission,06075022801
187,0,0,04,2025,12,12/10/2025,37.76285059837344,-122.41384718578534,Mission,06075022801
188,0,0,02,2025,12,12/10/2025,37.722286548069974,-122.40892051867364,Portola,06075025900
189,0,0,01,2025,12,12/10/2025,37.72472769326457,-122.40914244080655,Portola,06075025900
190,0,0,01,2025,12,12/10/2025,37.760347658158885,-122.4121956213685,Mission,06075022801
191,0,0,02,2025,12,12/10/2025,37.760998313540526,-122.40808077721938,Mission,06075022802
192,0,0,03,2025,12,12/10/2025,37.7256562923852,-122.4752875417471,Parkmerced,06075033201
193,0,0,10,2025,12,12/10/2025,37.754244314545744,-122.40448831308241,Potrero Hill,06075022903
194,0,0,02,2025,12,12/10/2025,37.73848566011765,-122.39539724810648,Bayview,06075980900
195,0,0,01,2025,12,12/10/2025,37.731830107716966,-122.43072733283043,Mission Terrace,06075025502
196,0,1,00,2025,12,12/10/2025,37.755743587424895,-122.41551410180675,Mission,06075022803
197,0,0,01,2025,12,12/10/2025,37.73184044912856,-122.43142805993556,St. Mary's Park,06075025502
198,0,0,01,2025,12,12/10/2025,37.74464221919073,-122.38963700143978,Central Waterfront,06075980900
199,0,1,00,2025,12,12/10/2025,37.745564815645906,-122.38894110982841,Central Waterfront,06075980900
200,0,1,06,2025,12,12/10/2025,37.74427489138935,-122.38767964096179,Central Waterfront,06075980900
201,0,0,02,2025,12,12/10/2025,37.74532502100497,-122.39091941428461,Central Waterfront,06075980900
202,0,0,01,2025,12,12/10/2025,37.74668220509161,-122.39077401361885,Central Waterfront,06075980900
203,0,0,015,2025,12,12/10/2025,37.718076608505854,-122.48470880091189,Parkmerced,06075033203
204,0,0,05,2025,12,12/10/2025,37.722800722811634,-122.39120463637164,Bret Harte,06075023400
205,0,0,01,2025,12,12/10/2025,37.71945040253742,-122.48476780951023,Parkmerced,06075033204
206,0,0,05,2025,12,12/10/2025,37.72372153467989,-122.38965224680231,Bayview,06075023400
207,0,0,26,2025,12,12/10/2025,37.746893745488634,-122.39940722756197,Produce Market,06075980900
208,0,0,01,2025,12,12/10/2025,37.74871042320652,-122.40196748464085,Produce Market,06075980900
209,0,0,02,2025,12,12/10/2025,37.72787324992496,-122.39177001252868,Bayview,06075023200
210,0,0,01,2025,12,12/10/2025,37.74944679811876,-122.41180908331117,Mission,06075022901
211,3,4,00,2025,12,12/10/2025,37.74848744859585,-122.41759841026477,Mission,06075020900
212,0,0,05,2025,12,12/10/2025,37.74514810773263,-122.39789390057773,Produce Market,06075980900
213,0,0,011,2025,12,12/10/2025,37.74389449046196,-122.39900643058436,Produce Market,06075980900
214,0,0,06,2025,12,12/10/2025,37.72683970610783,-122.3832886286039,Hunters Point,06075023200
215,0,0,01,2025,12,12/10/2025,37.74121523266087,-122.40139517934284,Produce Market,06075980900
216,0,0,03,2025,12,12/10/2025,37.742530106279375,-122.40338905524457,Produce Market,06075980900
217,0,0,05,2025,12,12/10/2025,37.73006326172872,-122.38891680512455,Bayview,06075023200
218,0,0,011,2025,12,12/10/2025,37.74446580431695,-122.40303436549607,Produce Market,06075980900
219,0,1,13,2025,12,12/10/2025,37.72597776668817,-122.38016863801619,Hunters Point,06075023200
220,0,0,316,2025,12,12/10/2025,37.747108371926515,-122.40331708546948,Produce Market,06075980900
221,0,0,03,2025,12,12/10/2025,37.7433653561954,-122.40244320738472,Produce Market,06075980900
222,0,0,01,2025,12,12/10/2025,37.73252261515939,-122.38976516774035,Bayview,06075023200
223,0,0,02,2025,12,12/10/2025,37.74175361363544,-122.399850004366,Produce Market,06075980900
224,0,0,04,2025,12,12/10/2025,37.74030167628894,-122.39654870334299,Produce Market,06075980900
225,0,0,02,2025,12,12/10/2025,37.7279051826214,-122.37958982089302,Hunters Point,06075023103
226,1,0,04,2025,12,12/10/2025,37.72775965676766,-122.38187895380261,Hunters Point,06075023200
227,0,0,03,2025,12,12/10/2025,37.745167013999314,-122.39519533012145,Produce Market,06075980900
228,4,0,01,2025,12,12/10/2025,37.74522511455281,-122.39569656190305,Produce Market,06075980900
229,1,1,04,2025,12,12/10/2025,37.74270135358564,-122.4030839887104,Produce Market,06075980900
230,0,1,03,2025,12,12/10/2025,37.74131454426048,-122.40050708630653,Produce Market,06075980900
231,0,1,00,2025,12,12/10/2025,37.74048390685112,-122.39905262996345,Produce Market,06075980900
232,0,0,01,2025,12,12/10/2025,37.73935308031746,-122.39744549111181,Produce Market,06075980900
233,0,0,01,2025,12,12/10/2025,37.73963205475441,-122.4000144660663,Apparel City,06075023001
234,1,0,00,2025,12,12/10/2025,37.73859890787961,-122.40233816175824,Apparel City,06075023001
235,0,1,00,2025,12,12/10/2025,37.738122002290936,-122.40672679305426,Apparel City,06075980900
236,0,0,01,2025,12,12/10/2025,37.73931816806017,-122.40691816439798,Apparel City,06075980900
237,0,0,70,2025,12,12/10/2025,37.74238795923048,-122.40516377245277,Apparel City,06075980900
238,1,3,23,2025,12,12/10/2025,37.74198803593896,-122.4046807584336,Apparel City,06075980900
239,0,0,02,2025,12,12/10/2025,37.73806754671403,-122.40400763306963,Apparel City,06075023001
240,0,0,01,2025,12,12/10/2025,37.736510164949046,-122.4042696744399,Apparel City,06075023001
241,0,0,01,2025,12,12/10/2025,37.741441804129785,-122.39964570703636,Produce Market,06075980900
242,0,0,01,2025,12,12/10/2025,37.74531771478794,-122.37644330201013,Central Waterfront,06075980900
243,0,0,01,2025,12,12/10/2025,37.74569676558936,-122.37823596976496,Central Waterfront,06075980900
244,2,0,00,2025,12,12/10/2025,37.74542639618755,-122.38663569775194,India Basin,06075980900
245,1,0,00,2025,12,12/10/2025,37.74794193835774,-122.38675299287529,Central Waterfront,06075980900
246,0,1,00,2025,12,12/10/2025,37.74642489610337,-122.38837366843889,Central Waterfront,06075980900
247,0,0,11,2025,12,12/10/2025,37.7512755689697,-122.38105696462908,Central Waterfront,06075980900
248,0,0,02,2025,12,12/10/2025,37.75237953814202,-122.38685856173727,Central Waterfront,06075980900
249,0,0,01,2025,12,12/10/2025,37.76026154582502,-122.38242676411141,Central Waterfront,06075022600
250,0,1,00,2025,12,12/10/2025,37.79427083531015,-122.39175940856533,Financial District,06075010500
251,0,1,00,2025,12,12/10/2025,37.809371793574726,-122.4168875784538,Fisherman's Wharf,06075010101
252,0,1,00,2025,12,12/11/2025,37.72050612728306,-122.41723734655274,McLaren Park,06075980501
253,0,0,01,2025,12,12/11/2025,37.722566507564736,-122.41797282704258,McLaren Park,06075980501
254,0,0,01,2025,12,12/11/2025,37.70892896097038,-122.48727509311759,Lakeshore,06075060400
255,0,0,01,2025,12,12/11/2025,37.71035409332867,-122.48824056682413,Lakeshore,06075060400
256,0,0,01,2025,12,12/11/2025,37.71052881355184,-122.48836041316855,Lakeshore,06075060400
257,0,0,01,2025,12,12/11/2025,37.71083593617328,-122.48843809482567,Lakeshore,06075060400
258,0,0,01,2025,12,12/11/2025,37.71134504355604,-122.48867361404622,Lakeshore,06075060400
259,0,0,01,2025,12,12/11/2025,37.71247459690913,-122.48982129260588,Lakeshore,06075060400
260,0,0,01,2025,12,12/11/2025,37.71254563715289,-122.48999210863643,Lakeshore,06075060400
261,0,0,01,2025,12,12/11/2025,37.7126851646681,-122.49022120698439,Lakeshore,06075060400
262,0,0,01,2025,12,12/11/2025,37.71274697336626,-122.49029046597761,Lakeshore,06075060400
263,0,0,01,2025,12,12/11/2025,37.71305221157691,-122.4906898651403,Lakeshore,06075060400
264,0,0,01,2025,12,12/11/2025,37.71298949735871,-122.49088893241255,Lakeshore,06075060400
265,0,0,01,2025,12,12/11/2025,37.71330415354581,-122.49110858822146,Lakeshore,06075060400
266,0,0,001,2025,12,12/11/2025,37.71350768196781,-122.49125662080036,Lakeshore,06075060400
267,0,0,01,2025,12,12/11/2025,37.713609889013775,-122.49146504692233,Lakeshore,06075060400
268,0,0,02,2025,12,12/11/2025,37.71385881259036,-122.49159905966675,Lakeshore,06075060400
269,0,0,01,2025,12,12/11/2025,37.71390504354573,-122.49184364280623,Lakeshore,06075060400
270,0,0,01,2025,12,12/11/2025,37.71419760321507,-122.49186136919941,Lakeshore,06075060400
271,0,0,02,2025,12,12/11/2025,37.714343225087234,-122.49198497386007,Lakeshore,06075060400
272,0,0,02,2025,12,12/11/2025,37.71471968274904,-122.49230195891253,Lakeshore,06075060400
273,0,0,01,2025,12,12/11/2025,37.71479221418996,-122.49233893115257,Lakeshore,06075060400
274,0,0,01,2025,12,12/11/2025,37.71499906908665,-122.49259643616168,Lakeshore,06075060400
275,0,0,01,2025,12,12/11/2025,37.7151379008641,-122.49271941453716,Lakeshore,06075060400
276,0,0,01,2025,12,12/11/2025,37.71518552925024,-122.49280652429802,Lakeshore,06075060400
277,0,0,01,2025,12,12/11/2025,37.71524734473407,-122.4928769806394,Lakeshore,06075060400
278,0,0,01,2025,12,12/11/2025,37.71535220386535,-122.4931224742759,Lakeshore,06075060400
279,0,0,02,2025,12,12/11/2025,37.71546551544639,-122.49326537706283,Lakeshore,06075060400
280,0,0,01,2025,12,12/11/2025,37.715601837061925,-122.4936810217269,Lakeshore,06075060400
281,0,0,01,2025,12,12/11/2025,37.715716347953496,-122.49389623554028,Lakeshore,06075060400
282,0,0,01,2025,12,12/11/2025,37.71574663363916,-122.49396819772616,Lakeshore,06075060400
283,0,0,001,2025,12,12/11/2025,37.71578597283956,-122.49416093735753,Lakeshore,06075060400
284,0,0,01,2025,12,12/11/2025,37.715805524426976,-122.49410888720624,Lakeshore,06075060400
285,0,0,01,2025,12,12/11/2025,37.71590550662171,-122.49452672593479,Lakeshore,06075060400
286,0,0,01,2025,12,12/11/2025,37.7159146269701,-122.49465739209556,Lakeshore,06075060400
287,0,0,02,2025,12,12/11/2025,37.715983536202145,-122.49479062029882,Lakeshore,06075060400
